pronunciation,kana,kanji,meaning
yokinitukeasikinituke,よきにつけあしきにつけ,良きにつけ悪しきにつけ,"for better or worse, for good or for evil"
tokinikui,ときにくい,説き難い,"difficult to explain"
hurumonoiti,ふるものいち,古物市,"antique market, flea market, jumble market, used-goods market"
isaku,いさく,違作,"smaller harvest than expected, poor crop, bad harvest, crop failure"
sorikurikaeru,そりくりかえる,反りくり返る,"to throw one's chest out, to hold one's head high"
yoatu,よあつ,予圧,"pre-load, precompression, pilot pressure"
heisou,へいそう,兵装,"armament, soldier's equipment"
yase,やせ,痩せ,"losing weight, slimming"
sasiosaemeirei,さしおさえめいれい,差押命令,"order of attachment, attachment order, seizure order"
kasiti,かしち,貸し地,"land for rent"
hotokeninaru,ほとけになる,仏になる,"to die"
kinokotori,キノコとり,きのこ取り,"mushroom gathering"
nisitu,にしつ,荷室,"trunk (of a car), boot, luggage space, cargo compartment"
teieiyou,ていえいよう,低栄養,"undernutrition, undernourishment, malnutrition, poor nutrition"
itinotorii,いちのとりい,一の鳥居,"first torii gate of a shrine"
sasitate,さしたて,差し立て,"dispatch, sending"
hukaao,ふかあお,深青,"dark blue, deep blue, navy blue"
tatikiku,たちきく,立ち聞く,"to listen in, to eavesdrop"
sukiari,すきあり,隙あり,"chink in the armor (armour)"
makami,まかみ,真神,"wolf"
usinotokimairi,うしのときまいり,丑の時参り,"cursing ritual where one visits a shrine at 2am and nails a doll representing a person to a tree, praying for said person's death"
usinokokumairi,うしのこくまいり,丑の刻参り,"cursing ritual where one visits a shrine at 2am and nails a doll representing a person to a tree, praying for said person's death"
miiraka,ミイラか,ミイラ化,"mummification"
itiu,いちう,一宇,"one house, one roof"
kokorowotukamu,こころをつかむ,心をつかむ,"to win over, to win (someone's) heart and mind"
usone,うそね,嘘寝,"feigned sleep, playing possum"
seirei,せいれい,清冷,"clear and cold (water, etc.)"
ikumou,いくもう,育毛,"hair restoration, new hair growth"
ruiwa,るいわ,類話,"similar story, variant tale"
iki,いき,委棄,"waiving (a right), waiver, renunciation"
yokokunaku,よこくなく,予告なく,"without prior notice"
ekitika,えきちか,駅近,"close to a station"
ekitika,えきチカ,駅チカ,"underground shopping arcade near a station"
kuituku,くいつく,食いつく,"to bite at, to snap at, to nibble"
koorimoti,こおりもち,氷餅,"mochi freeze-dried in the winter air"
aranetuwotoru,あらねつをとる,粗熱を取る,"to let something (e.g. frypan, pot) cool down"
kakuresumu,かくれすむ,隠れ住む,"to live in hiding, to live as a recluse"
tasetu,たせつ,他説,"other theories"
kawatuki,かわつき,皮付き,"unskinned, unhusked, in the skin"
tokisimesu,ときしめす,説き示す,"to explain, to show, to demonstrate"
kouseisitu,こうせいしつ,校正室,"proofroom, proof-reading room, reading room"
housuihou,ほうすいほう,放水砲,"water cannon"
kumiire,くみいれ,組み入れ,"incorporating, inserting"
yurusinohiseki,ゆるしのひせき,ゆるしの秘跡,"sacrament of penance and reconciliation"
sakekurai,さけくらい,酒食らい,"heavy drinker"
reiseki,れいせき,霊石,"miraculous stone, magical rock"
tewoireru,てをいれる,手を入れる,"to correct, to touch up, to smarten up"
hakurisi,はくりし,剥離紙,"release paper, releasing paper, sticker release paper, release liner"
tatenusi,たてぬし,建て主,"client (of a builder, etc.), person having something built or constructed"
kaneninaru,かねになる,金になる,"profitable, lucrative"
kaitakusi,かいたくし,開拓使,"early-Meiji administrative unit for Hokkaido (1869-1882)"
saikou,さいこう,斎行,"carrying out (a religious festival or ceremony)"
hitu,ひつ,必,"definiteness, certainty"
ooyamato,おおやまと,大倭,"Japan"
kayou,かよう,家用,"domestic uses"
kitai,きたい,基体,"base, substrate"
yoseue,よせうえ,寄せ植え,"flowers planted together"
kehanasi,けはなし,蹴放し,"threshold (lacking the grooves needed for a sliding door), sill"
kehanasu,けはなす,蹴放す,"to kick free, to kick loose, to kick away"
taimaiwohataku,たいまいをはたく,大枚をはたく,"to spend a fortune, to pay a high price"
hutaoya,ふたおや,二親,"both parents"
kouhuri,こうふり,口振,"direct debit, account-to-account transfer"
aiya,あいや,藍屋,"indigo dyer"
koorioni,こおりおに,氷鬼,"freeze tag (children's game)"
amaou,あまおう,甘王,"amaou, strawberry cultivar"
turumurasaki,つるむらさき,蔓紫,"Malabar spinach (Basella alba), Indian spinach"
nakawata,なかわた,中綿,"padding (clothing or bedding), insulation, cotton wadding, stuffing (furniture)"
tehuki,てふき,手吹き,"hand-blown (e.g. glass)"
yamanari,やまなり,山なり,"curved, forming the shape of an arch"
hutaitoko,ふたいとこ,二従兄弟,"second cousin"
hatoko,はとこ,再従兄弟,"second cousin"
orositate,おろしたて,卸したて,"freshly-grated (e.g. daikon)"
iyaitoko,いやいとこ,弥従兄弟,"second cousin"
miitoko,みいとこ,三従兄弟,"third cousin"
heikouitoko,へいこういとこ,平行いとこ,"parallel cousins, ortho-cousins"
mawari,まわり,回り,"rotation"
hiso,ひそ,飛鼠,"bat (animal)"
kanikoumori,かにこうもり,蟹蝙蝠,"Parasenecio adenostyloides (species of daisy)"
uokuikoumori,うおくいこうもり,魚食蝙蝠,"fisherman bat (Noctilionidae spp.), bulldog bat"
kuroakakoumori,くろあかこうもり,黒赤蝙蝠,"Hodgson's bat (Myotis formosus), Bartel's myotis"
koyamakoumori,こやまこうもり,小山蝙蝠,"Japanese noctule (Nyctalus furvus)"
tisuikoumori,ちすいこうもり,血吸蝙蝠,"vampire bat (Desmodontinae spp.)"
touyouhinakoumori,とうようひなこうもり,東洋雛蝙蝠,"Asian particolored bat (Vespertilio sinensis)"
hinakoumori,ひなこうもり,雛蝙蝠,"vesper bat (Vespertilionidae spp., esp. the Asian particolored bat, Vespertilio sinensis), evening bat, common bat"
koumorimotorinouti,こうもりもとりのうち,蝙蝠も鳥のうち,"capable or not, we are all in the same boat, bats are also birds"
yotuuti,よつうち,四つ打ち,"four-on-the-floor, four-to-the-floor"
yarasu,やらす,遣らす,"to allow, to let (somebody) do, to make (somebody) do"
iewoakeru,いえをあける,家を空ける,"to be away from home, to be out of the house"
aiterasu,あいてらす,相照らす,"to mutually shine on (each other)"
honewosasu,ほねをさす,骨を刺す,"to chill one's bones (e.g. because of cold, pain, etc.), to be very cold, to be scathing"
tumasu,つます,詰ます,"to corner (esp. an opponent's king in shogi), to trap, to checkmate"
seihuheisa,せいふへいさ,政府閉鎖,"government shutdown"
yaraseru,やらせる,遣らせる,"to allow, to let (somebody) do, to make (somebody) do"
tasi,たし,他誌,"different magazine (esp. by a different publisher), another magazine"
yakuyoku,やくよく,薬浴,"medicated bath"
iwao,いわお,巌,"huge rock, massive boulder"
hitotuhutatu,ひとつふたつ,一つ二つ,"one or two, a few, small number"
kakurehisomu,かくれひそむ,隠れ潜む,"to hide, to lie motionless in hiding"
hitokutikatu,ひとくちカツ,一口カツ,"bite-sized cutlet"
horenaosu,ほれなおす,惚れ直す,"to rekindle one's love, to fall in love again (with a person one has previously been in love with)"
meiou,めいおう,冥王,"Hades (Greek god), Pluto (Roman god)"
hanakaruta,はなかるた,花かるた,"hanafuda, Japanese playing cards (12 suits of 4 cards, each suit representing a month indicated by a flower)"
koyou,こよう,古謡,"traditional (folk) song"
kataosi,かたおし,型押し,"stamping, embossing, tooling (e.g. leather), sigillation"
mihariyaku,みはりやく,見張り役,"person standing watch, guard duty"
kokoronomama,こころのまま,心のまま,"to one's heart's content, following one's heart's desires"
usunuri,うすぬり,薄塗り,"thinly painted, thinly lacquered"
atunuri,あつぬり,厚塗り,"thickly painted, thickly lacquered, impasto"
orosiki,おろしき,おろし器,"grater"
ekikounai,えきこうない,駅構内,"station premises"
una,うな,鰻,"eel (esp. the Japanese eel, Anguilla japonica)"
sitaiaikou,したいあいこう,屍体愛好,"necrophilia"
sitaiseiai,したいせいあい,死体性愛,"necrophilia"
hamonosi,はものし,刃物師,"cutler"
amaikoe,あまいこえ,甘い声,"sweet voice, seductive voice"
asiharanonakatukuni,あしはらのなかつくに,葦原中国,"Japan, name of Japan in Japanese mythology"
sukihara,すきはら,空き腹,"empty stomach, hunger"
houteikei,ほうていけい,法定刑,"statutory penalty"
hiroukaihuku,ひろうかいふく,疲労回復,"recovery from exhaustion"
kotoninarikanenai,ことになりかねない,事になりかねない,"could result in (something undesirable), might end up (doing, happening), run the risk of"
sunamusi,すなむし,砂むし,"(hot) sand bath"
itimaioti,いちまいおち,一枚落ち,"playing with a handicap of one rook or bishop"
teseusunohune,テセウスのふね,テセウスの船,"ship of Theseus, Theseus's paradox"
nakaisi,なかいし,中石,"horse, block of rock completely separated from the surrounding rock either by mineral veins or fault planes"
hukainaomoiwosaseru,ふかいなおもいをさせる,不快な思いをさせる,"to offend someone, to give offence, to hurt someone's feelings"
tenikakeru,てにかける,手にかける,"to take care of, to bring up under one's personal care"
naiteisiki,ないていしき,内定式,"presentation of employment offer, orientation occasion for prospective employees"
naiteisaki,ないていさき,内定先,"employer from whom one has received a unofficial offer of employment, prospective employer"
hotokenomiti,ほとけのみち,仏の道,"way of the Buddha, Buddha's teachings"
yousuiki,ようすいき,揚水機,"water pump"
hatunetutai,はつねつたい,発熱体,"heating element, heat-generating element"
taihika,たいひか,堆肥化,"composting"
nitoukoukaisi,にとうこうかいし,二等航海士,"second mate, second officer"
aimatu,あいまつ,相まつ,"to be coupled with, to be combined with"
itiyokuwoninau,いちよくをになう,一翼を担う,"to play a part, to get involved, to take a share, to share the burden"
umihotaru,うみほたる,海蛍,"sea firefly (Vargula hilgendorfii), seed shrimp"
mihaka,みはか,御墓,"imperial tomb"
hisouteki,ひそうてき,皮相的,"superficial, shallow"
utihanasi,うちはなし,打ち放し,"undressed concrete, unfaced concrete"
kasokeki,かそけき,幽き,"faint, fleeting"
utikatameru,うちかためる,打ち固める,"to harden by beating"
itameru,いためる,撓める,"to treat leather, sharkskin, etc. with glue and pound until hard"
haika,はいか,配荷,"distribution (e.g. of products to a retailer)"
taoru,たおる,倒る,"to fall, to die, to be defeated"
katawokumu,かたをくむ,肩を組む,"to place one's arm around each other's shoulders, to join shoulders"
mayakuou,まやくおう,麻薬王,"druglord, drug baron"
wawasai,わわさい,娃々菜,"baby Chinese cabbage, wawasai cabbage, variety of small Chinese cabbage"
sewata,せわた,背わた,"vein of a shrimp (prawn), digestive tract of a shrimp, sand vein"
hukuheki,ふくへき,復辟,"restoration (of an abdicated ruler)"
kikinareta,ききなれた,聞き慣れた,"familiar"
sokuhame,そくハメ,即ハメ,"instant fuck, having sex immediately (after meeting), easy lay"
kamisitu,かみしつ,髪質,"hair type, hair quality"
maite,まいて,舞手,"dancer"
kosiwooru,こしをおる,腰を折る,"to interrupt (a story, etc.)"
teki,てき,狄,"Di people, Zhou dynasty term used by the Chinese to refer to non-ethnic Chinese to the north"
tamurou,たむろう,屯う,"to gather in large numbers (of people), to hang out (as a large group)"
kokusaihi,こくさいひ,国債費,"debt-servicing costs, expenditure for servicing government bonds"
irainusi,いらいぬし,依頼主,"client"
taisetunahito,たいせつなひと,大切な人,"special someone, special person, precious one, significant other"
sakiika,さきいか,裂き烏賊,"shredded and dried squid (a snack)"
iyaninaru,いやになる,嫌になる,"to get fed up with, to get sick of, to become disgusted with"
huhaku,ふはく,不泊,"no-show (at hotel)"
yositosuru,よしとする,良しとする,"to deem acceptable, to approve of, to value, to consider a good thing"
seikei,せいけい,星系,"star system"
yakuwariwohatasu,やくわりをはたす,役割を果たす,"to play a role, to serve a function, to play a part"
ekinaka,えきナカ,駅ナカ,"shopping area within a train station"
ikeimarukou,いけいまるこう,異形丸鋼,"deformed bar, deformed round bar"
hewokoku,へをこく,屁をこく,"to fart, to break wind"
yaato,やあと,矢跡,"wedge marks in stone (usu. remaining from stone-splitting, now used for visual effect)"
hokisitu,ほきしつ,補器室,"auxiliary machinery room"
kakusituotosi,かくしつおとし,角質落とし,"exfoliation, skin cleansing"
ihusimai,いふしまい,異父姉妹,"half-sister (different father), half-sisters"
seitokusei,せいとくせい,静特性,"static characteristics"
yuuhei,ゆうへい,勇兵,"brave soldier, brave warrior"
kinaituuwasouti,きないつうわそうち,機内通話装置,"intercom, intercommunication system"
mikatanitukeru,みかたにつける,味方につける,"to enlist as a supporter, to win over to one's side, to gain as one's ally"
ukimi,うきみ,浮き実,"soup garnish"
uki,うき,憂き,"unhappy, sad, gloomy"
hiraoki,ひらおき,平置き,"horizontally mounted, horizontally parked, placed flat, lay-flat"
tairue,タイルえ,タイル絵,"pictures painted on tiles"
naisei,ないせい,内製,"in-house production"
hiyoutaikouka,ひようたいこうか,費用対効果,"cost-effectiveness"
kaitoriya,かいとりや,買取屋,"companies exploiting debtors by forcing them to make expensive credit card purchases and buying the purchases at a fraction of the price"
tatenori,たてのり,縦乗り,"pogo, dance in which one jumps up and down to the beat of the music"
makitoru,まきとる,巻き取る,"to wind (thread, film, etc.)"
haturai,はつらい,発来,"onset, outbreak"
saisiki,さいしき,細糸期,"leptotene"
ruisekiteki,るいせきてき,累積的,"cumulative"
ruikateki,るいかてき,累加的,"cumulative"
kamituti,かみつち,紙土,"paper clay"
itohiki,いとひき,糸引き,"stretching out a string, stretching out like a string"
isei,いせい,異星,"different planet, another planet"
titekiseimei,ちてきせいめい,知的生命,"intelligent life"
itotori,いととり,糸取り,"silk reeling, silk spinning, filature, silk reeler, silk spinner"
seitika,せいちか,精緻化,"refinement, elaboration"
moraeru,もらえる,貰える,"to be able to receive, to be able to take, to be able to accept"
tousimoku,とうしもく,等翅目,"Isoptera, order of insects comprising the termites"
touhousei,とうほうせい,等方性,"isotropy"
touatu,とうあつ,等圧,"equal pressure, uniform pressure"
hituroku,ひつろく,筆録,"written record"
kasaisi,かさいし,笠石,"copestone, cope, coping stone, capping stone, capstone"
huetake,ふえたけ,笛竹,"bamboo flute"
kisoi,きそい,競い,"competition, contention, rivalry"
kinunari,きぬなり,絹鳴り,"rustling sound of silk cloth, scroop"
naikokukouro,ないこくこうろ,内国航路,"coastal route"
wakomono,わこもの,和小物,"Japanese trinket"
huuteki,ふうてき,風笛,"bagpipe"
kiwamari,きわまり,極まり,"extremity, end, bound, limit"
totutosite,とつとして,突として,"suddenly, all of a sudden"
irareru,いられる,居られる,"can be, can exist, can stay"
irisuu,いりすう,入り数,"quantity (per carton, etc.), number contained (in a packet, etc.)"
kuuhouka,くうほうか,空胞化,"vacuolation, vacuolization"
kuukinisarasu,くうきにさらす,空気にさらす,"to aerate, to air"
hirake,ひらけ,開け,"beginning, start"
ake,あけ,開け,"newly commenced ..., just started ..."
kasoutuuka,かそうつうか,仮想通貨,"virtual currency, cryptocurrency"
tuminimokuroku,つみにもくろく,積荷目録,"manifest (of cargo)"
hiyaku,ひやく,秘鑰,"secret key"
hisuru,ひする,秘する,"to keep secret, to conceal"
himeyaka,ひめやか,秘めやか,"secret"
kieusero,きえうせろ,消え失せろ,"get lost, get out of my sight, scram, beat it, buzz off, go away"
osimoosarenu,おしもおされぬ,押しも押されぬ,"of established reputation, fully established, (universally) recognized, acknowledged, leading"
itimoku,いちもく,一目,"look, glance"
kikairosu,きかいロス,機会ロス,"missing an opportunity, opportunity loss"
hitoyamaikura,ひとやまいくら,一山いくら,"dirt cheap, very cheap, worthless"
kinousei,きのうせい,機能性,"functionality"
hosomaru,ほそまる,細まる,"to narrow (e.g. eyes)"
hunamaturi,ふなまつり,舟祭り,"boat festival, festival with portable shrines carried on boats"
houka,ほうか,包か,"wrapping, envelopment"
kamotuki,かもつき,貨物機,"freighter (aircraft), cargo plane"
housikakaku,ほうしかかく,奉仕価格,"bargain price"
siramusi,しらむし,白蒸し,"steamed unflavoured glutinous rice, mochi rice"
totimoti,とちもち,栃餅,"cake made from pounded horse chestnuts and mochi rice"
etu,えつ,閲,"inspection (esp. of a document), stamp of approval (for a document)"
toukousei,とうこうせい,透光性,"translucency"
ainotewoutu,あいのてをうつ,合いの手を打つ,"to make a gesture or say something during a break in conversation, playing of songs, etc., to interrupt"
aoirotoiki,あおいろといき,青色吐息,"deep distress"
arikeru,ありける,有りける,"said, aforementioned"
torikomoru,とりこもる,取り籠もる,"to seclude oneself, to shut oneself away"
tasikesi,たしけし,確けし,"certain, sure, definite"
hirasara,ひらさら,平更,"earnestly, intently, determinedly, by all means"
totemokakutemo,とてもかくても,迚も斯くても,"no matter what, anyhow, in any case, at any rate, in any event, anyway"
titiuma,ちちうま,父馬,"sire (horse)"
usura,うすら,薄ら,"slight, light, thin, faint, dim"
hahurasu,はふらす,放らす,"to leave alone, to leave as is, to ignore, to neglect, to abandon"
sakutou,さくとう,作刀,"Japanese sword making"
tetu,てつ,哲,"sage, wise man, philosopher, disciple"
koukiroku,こうきろく,公記録,"public record"
ureu,うれう,憂ふ,"to worry, to be concerned"
kisetu,きせつ,気切,"tracheotomy"
kaminariika,かみなりいか,雷烏賊,"kisslip cuttlefish (Sepia lycidas)"
seimeisai,せいめいさい,清明祭,"tomb sweeping festival (Okinawa, April 4 or 5)"
ekika,えきか,駅家,"posthouse, station, post station"
hinikuya,ひにくや,皮肉屋,"ironist, sarcastic person, sharp tongue, satirist"
kataoti,かたおち,型落ち,"old model (of an appliance, etc.), becoming outdated"
seiatu,せいあつ,静圧,"static pressure"
otokomakase,おとこまかせ,男任せ,"leaving (something) up to one's man (e.g. husband, boyfriend, etc.)"
seiyousumomo,せいようすもも,西洋酸桃,"common plum (Prunus domestica), European plum"
kakai,かかい,下階,"floor below, floor downstairs"
saikakai,さいかかい,最下階,"bottom floor, lowest floor"
kuwasiku,くわしく,ｋｗｓｋ,"tell me more, give me more details"
ki,き,希,"dilute"
seiseiki,せいせいき,生成器,"generator (e.g. signal generator)"
huhukumousitate,ふふくもうしたて,不服申立て,"petitioning (an administration) for redress, suing civilly to seek redress (for a court's action), lodging an appeal"
hanuke,はぬけ,羽抜け,"molting, moulting"
oyakusoku,おやくそく,お約束,"promise, agreement, arrangement, one's word, contract, pact, appointment, engagement, date"
sorenihikikaete,それにひきかえて,それに引き替えて,"in contrast, on the contrary, on the other hand"
tahitu,たひつ,他筆,"someone else writing, someone else's writing"
yakinamasihou,やきなましほう,焼きなまし法,"simulated annealing"
retunikusi,れつにくし,裂肉歯,"carnassial, carnassial tooth"
koteikouka,こていこうか,固定効果,"fixed effect"
yuu,ゆう,尤,"superb, outstanding"
souritu,そうりつ,相律,"phase rule"
saka,さか,逆,"inverse, reverse"
takousikikaiki,たこうしきかいき,多項式回帰,"polynomial regression"
souka,そうか,相加,"additive"
kaikikeisuu,かいきけいすう,回帰係数,"regression coefficient"
eitisisuu,エイチしすう,ｈ指数,"h-index"
noutore,のうトレ,脳トレ,"brain training, brain workout"
yosetu,よせつ,余説,"commentary, annotation, alternative theory"
seimi,セイミ,舎密,"chemistry"
yakunimotatanai,やくにもたたない,役にも立たない,"of no use whatsoever, good for nothing, useless"
komiiru,こみいる,込み居る,"to push in, to be crowded"
kumonoito,くものいと,クモの糸,"spider's thread, spider silk"
himeaoki,ひめあおき,姫青木,"Aucuba japonica var. borealis (variety of Japanese laurel)"
himemoti,ひめもち,姫黐,"Ilex leucoclada (species of holly)"
himekuina,ひめくいな,姫水鶏,"Baillon's crake (Porzana pusilla)"
si,し,士,"man (esp. one who is well-respected)"
ka,か,寡,"minority, small numbers"
taisoku,たいそく,体側,"side of a body"
kanisasi,かにさし,かに刺し,"crab sashimi"
tutituki,つちつき,土付き,"covered with soil (of vegetables, etc.)"
sisei,しせい,試製,"trial manufacture (cultivation, etc.)"
himenori,ひめのり,姫糊,"rice starch, rice paste"
koukuueisei,こうくうえいせい,口腔衛生,"dental health, oral hygiene"
arani,あらに,荒荷,"bulk cargo, bulk freight"
imakare,いまかれ,今彼,"current boyfriend"
soresore,それそれ,其れ其れ,"come on, hurry up, chop chop"
netariru,ねたりる,寝足りる,"to get enough sleep"
arukisumaho,あるきスマホ,歩きスマホ,"texting while walking, looking at one's smartphone while walking"
titatu,ちたつ,遅達,"late delivery, delayed delivery, late notification"
taima,たいま,対馬,"playing on equal terms, having no handicap for either player"
neoti,ねおち,寝落ち,"dozing off in the middle of doing something (esp. in an online chat or during an online game), becoming inactive due to falling asleep"
miseita,みせいた,見せ板,"layering, placing a large amount of orders and cancelling before they are executed (with the intent of manipulating the market)"
atarimake,あたりまけ,当たり負け,"loss of momentum or follow-through as a result of impact, getting knocked aside"
haka,はか,捗,"progress"
mesinotane,めしのたね,飯の種,"means of making a living, source of income, bread and butter, livelihood"
sitaki,したき,下木,"understory trees, underbrush, undergrowth"
koukaku,こうかく,考覈,"considering and examining, pondering and investigating"
kuraya,くらや,暗屋,"(clandestine) brothel (Edo period), whorehouse"
kuramono,くらもの,暗者,"prostitute"
owarikakeru,おわりかける,終わりかける,"to be almost finished"
owarikake,おわりかけ,終わりかけ,"final part, last bit, end"
okuheki,おくへき,奥壁,"inner wall (e.g. cave), inner rockface (mountain valley, etc.)"
hitumou,ひつもう,筆毛,"pinfeather"
anaaki,あなあき,穴あき,"pierced, drilled, perforated, hollow"
kamaone,かまおね,鎌尾根,"arête, sharp ridge"
mamearare,まめあられ,豆あられ,"arare biscuit made from soybeans"
taima,たいま,退魔,"eradication of malignant spirits (esp. used in fantasy and science fiction)"
mani,まに,摩尼,"jewel, pearl, gemstone"
hosui,ほすい,保水,"water retention"
youraku,ようらく,瓔珞,"personal ornament (adorned with gemstones, and usu. worn by the nobility in ancient India or adorning Buddhist statues), necklace, diadem"
kariyoyaku,かりよやく,仮予約,"tentative reservation, tentative booking"
eikokuousitu,えいこくおうしつ,英国王室,"British royal family"
seisou,せいそう,盛粧,"thick makeup, heavy makeup"
kaeranuhito,かえらぬひと,帰らぬ人,"dead person, deceased person"
sonosai,そのさい,その際,"in so doing, when you do so, in this regard, on this occasion, some time during that period"
itasikaneru,いたしかねる,致しかねる,"to be unable to do, to find something difficult to do"
huritukeru,ふりつける,振り付ける,"to choreograph"
rokuwohamu,ろくをはむ,禄を食む,"to get a salary (from), to receive a stipend (from), to be on the payroll (of)"
suisai,すいさい,水彩,"watercolor painting"
aimasu,あいます,相摩す,"to brush against, to rub together"
kuru,くる,呉る,"to give, to let one have, to do for one"
raikou,らいこう,来寇,"invasion, raid, inroad"
siawasenisuru,しあわせにする,幸せにする,"to bring someone happiness, to make someone happy"
kimame,きまめ,生豆,"green coffee bean"
hamura,はむら,葉群,"leaves, foliage"
yaeyamayasi,やえやまやし,八重山椰子,"Satake palm (Satakentia liukiuensis), Yaeyama palm"
tokuseki,とくせき,督責,"demanding, urging"
koseiha,こせいは,個性派,"unique type, one of a kind"
tokoyo,とこよ,常夜,"perpetual night"
souka,そうか,装花,"floral decorations, e.g. at a wedding"
neisei,ねいせい,寧静,"calmness, peacefulness, tranquility"
otoware,おとわれ,音割れ,"clipping (audio)"
ukara,うから,親族,"blood relative"
itioumewotoosu,いちおうめをとおす,一応目を通す,"to run one's eye over (e.g. to check if it's OK), to glance over, to skim through"
kimekomakai,きめこまかい,きめ細かい,"smooth"
mahousuu,まほうすう,魔法数,"magic number"
seitaiteki,せいたいてき,生態的,"ecological"
yamanusi,やまぬし,山主,"owner of a mountain"
kusarinoko,くさりのこ,鎖鋸,"chainsaw"
yaku,やく,灼く,"to tan (i.e. suntan), to burn"
yaku,やく,妬く,"to be jealous of, to be envious of, to envy"
ekisi,えきし,駅子,"staff at a horse changing station during the ritsuryo period"
ohimanara,おひまなら,お暇なら,"if you are free, if you have time to spare, if not otherwise engaged"
kitakore,きたこれ,ｋｔｋｒ,"it's here!, it's happening!, yes!"
itinimoninimo,いちにもににも,一にも二にも,"above all else"
iti,いち,逸,"very, excellent"
sikakusui,しかくすい,四角錐,"quadrangular pyramid"
hito,ひと,一,"one"
sumomi,すもみ,酢もみ,"rubbing in a vinegar, etc. dressing"
siomomi,しおもみ,塩もみ,"sprinkling salt on a raw vegetable and rubbing it in"
hoyuunetu,ほゆうねつ,保有熱,"potential heat, residual heat"
huhatuniowaru,ふはつにおわる,不発に終わる,"to misfire, to come to naught, to end in failure, to fizzle out, to fall flat"
reimei,れいめい,霊名,"Christian name, baptismal name"
kiukoukatu,きうこうかつ,気宇広闊,"magnanimous in one's attitude of mind, grand in one's idea or mind-set"
temoyoi,てもよい,ても良い,"indicates concession or compromise"
aisonoii,あいそのいい,愛想のいい,"affable, amiable, sociable, agreeable"
iseinoii,いせいのいい,威勢のいい,"high-spirited, cheerful, assertive, vigorous"
keiyoukokousu,けいようここうす,形容枯槁す,"to be emaciated, to become gaunt, to waste away"
kimotiii,きもちいい,気持ちいい,"good feeling, feeling good"
kokou,ここう,枯槁,"withering, dying (plants)"
kikiwakenoii,ききわけのいい,聞き分けのいい,"reasonable"
monowakarinoii,ものわかりのいい,物わかりのいい,"sensible, understanding"
umarenoii,うまれのいい,生まれのいい,"of noble birth, wellborn"
sii,しい,四位,"fourth court rank"
sie,しえ,紫衣,"purple vestment (traditionally awarded by the imperial household), high-ranking priest's purple robe"
tuwamono,つわもの,兵,"warrior, soldier"
sisateki,しさてき,示唆的,"suggestive, pregnant (e.g. pregnant pause)"
sokuhitu,そくひつ,側筆,"painting with the body of a brush's bristles (to create a thicker line than possible with the tip)"
iikoto,いいこと,いい事,"good thing, nice thing"
yomisuru,よみする,嘉する,"to praise, to extol, to applaud, to esteem"
museiai,むせいあい,無性愛,"asexuality, nonsexuality, lack of sexual attraction or orientation"
yoikoro,よいころ,良い頃,"high time, about time"
aitounoi,あいとうのい,哀悼の意,"one's condolences, feelings of sympathy"
hasuha,はすは,蓮葉,"lotus leaf"
mitinarasi,みちならし,道均し,"road leveling, road levelling"
ikarikoori,いかりこおり,いかり氷,"anchor ice, bottom-fast ice"
isuramukoku,イスラムこく,イスラム国,"Islamic State, IS, Islamic State of Iraq and Syria, ISIS, Islamic State of Iraq and the Levant, ISIL"
tuyuisasakamo,つゆいささかも,露聊かも,"never, by no means, not in the least, in no way"
tima,チマ,裳,"chima, long skirt traditionally worn by Korean women"
kosita,こした,袴下,"long johns, long underpants, long underwear"
kireoti,キレおち,キレ落ち,"ragequit, quitting an online game in anger (over losing)"
naeoti,なえおち,萎え落ち,"disconnecting from an online game because one is losing"
nasu,なす,生す,"to have a child"
yoriue,よりうえ,より上,"above, more than"
sakumei,さくめい,作命,"operation order"
tairikumei,たいりくめい,大陸命,"imperial army order"
tairikusi,たいりくし,大陸指,"imperial army order (detailed)"
kaisou,かいそう,海総,"imperial navy order"
taikaisi,たいかいし,大海指,"imperial navy order (detailed)"
kikou,きこう,気閘,"airlock, air lock"
sekiti,せきち,瘠地,"barren land, arid soil"
taokosi,たおこし,田起こし,"rice paddy plowing, tilling a rice field"
matihure,まちふれ,町触れ,"town order (Edo period), order issued by a shogun or daimyo affecting a whole town, and passed on by town officials"
makuatu,まくあつ,膜厚,"film thickness, coating thickness"
hosiimamanisuru,ほしいままにする,恣にする,"to abuse, to exploit to the full, to give free rein to"
tahi,たひ,多脾,"polysplenia"
notamawaku,のたまわく,曰わく,"according to ..., ... says"
teikou,ていこう,定項,"constant (esp. in logic)"
watariwotukeru,わたりをつける,渡りを付ける,"to make contact with somebody, to get in touch with somebody"
heiekihou,へいえきほう,兵役法,"Military Service Law (1927-1945)"
karatoiumono,からというもの,からと言うもの,"after, since"
umasio,うましお,うま塩,"tasty salt flavour (flavor)"
iroyukata,いろゆかた,色浴衣,"colourful yukata (colorful)"
takesumi,たけすみ,竹炭,"bamboo charcoal"
kuwareru,くわれる,食われる,"to be eaten, to be bitten (e.g. by bugs)"
tokaitearu,とかいてある,と書いてある,"according to, reads, reading, is written, says, states"
seiromusi,せいろむし,せいろ蒸し,"steaming (of food) using a bamboo steamer"
misowotukeru,みそをつける,味噌をつける,"to make a mess of it, to make a hash of it, to fail and lose face, to embarrass oneself"
kawakamuri,かわかむり,皮かむり,"phimosis"
umasake,うまさけ,旨酒,"high-grade sake, good sake"
